ID,dG0_f_rc,dG0_f_rc_error
C13827,-66.54431231,0.380621231
C14039,32.21137537,0.380621231
C14177,417.85735,0.098839105
C14178,-417.85735,0.098839105
C14400,-100.5215616,0.380621231
C14705,-77.78862463,0.380621231
C14818,-77.41112772,0.380621231
C14819,-2.311625472,0.380621231
C15025,-62.8451928,0.231825789
C15673,-23.89297933,0.051614043
C16310,21.60848825,0.098589957
C16512,-70.81912435,0.283526965
C16688,-2419.501475,0.18386027
C18054,74.20164042,0.084364861
C18246,-69.03293694,0.380621231
C18247,-68.67724926,0.380621231
C18248,-36.82156157,0.380621231
C19034,-79.86587389,0.380621231
C19248,-49.6,0.380621231
C19496,-68.24431231,0.380621231
C19536,-77.63293694,0.380621231
C19838,96.60549921,0.34458875
C80002,102.2784384,0.380621231
C80003,84.32275074,0.380621231
C80004,81.82275074,0.380621231
C80005,78.32275074,0.380621231
C80006,71.66706306,0.380621231
C80007,60.46706306,0.380621231
C80008,56.76706306,0.380621231
C80009,55.81137537,0.380621231
C80010,49.21137537,0.380621231
C80011,53.51137537,0.380621231
C80012,45.65568769,0.380621231
C80013,46,0.380621231
C80014,-245.9665344,0.380621231
C80015,-269.7231383,0.380621231
C80016,-278.7231478,0.380621231
C80017,-262.6232307,0.380621231
C80018,-264.2221489,0.380621231
C80019,-273.5225693,0.380621231
C80020,-293.378864,0.380621231
C80021,-281.5781568,0.380621231
C80022,-209.4673287,0.380621231
C80023,-202.9664612,0.380621231
C80024,-196.2661451,0.380621231
C80025,-146.4673007,0.380621231
C80026,-144.0664356,0.380621231
C80027,-141.2661122,0.380621231
C80028,-215.5070865,0.380621231
C80029,-408.8674836,0.380621231
C80030,-237.0554237,0.380621231
C80043,-52.73293694,0.380621231
C80045,-17.46587389,0.380621231
C80046,-88.88862463,0.380621231
C80047,-7.354498518,0.380621231
C80048,-44.7101862,0.380621231
C80049,-80.36587389,0.380621231
C80050,-0.243123148,0.380621231
C80051,-31.79881083,0.380621231
C80052,-45.59881083,0.380621231
C80053,9.268252222,0.380621231
C80054,-29.58743546,0.380621231
C80055,37.36656825,0.380621231
C80057,-7.618550615,0.016664093
C80058,7.618550615,0.016664093
C80059,44.286615,0.095155308
C80060,-44.286615,0.095155308
C80067,300.7690464,0.095155308
C80069,-4.870859783,0.058788248
